id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating,imdb_votes
152,Homerpalooza,19/05/1996,3F21,7,24,152,12.9,60569,8,1095
181,Lisa's Sax,19/10/1997,3G02,9,3,181,12.9,20008,8.1,980
166,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,07/02/1997,3G03,8,13,166,17.7,57608,7.7,1088
154,Treehouse of Horror VII,27/10/1996,4F02,8,1,154,18.3,102077,8.3,1186
169,Brother from Another Series,23/02/1997,4F14,8,16,169,15.1,56659,8.2,1100
156,The Homer They Fall,10/11/1996,4F03,8,3,156,17,61146,8,1085
158,Bart After Dark,24/11/1996,4F06,8,5,158,14.1,60210,8.2,1098
202,Lost Our Lisa,10/05/1998,5F17,9,24,202,7.6,55316,7.7,880
199,Girly Edition,19/04/1998,5F15,9,21,199,8.5,21811,7.9,905
187,Realty Bites,07/12/1997,5F06,9,9,187,10.6,25183,7.5,888
174,The Old Man and the Lisa,20/04/1997,4F17,8,21,174,14,56833,7.9,967
159,A Milhouse Divided,01/12/1996,4F04,8,6,159,12.8,60956,8,1008
170,"My Sister, My Sitter",02/03/1997,4F13,8,17,170,15.1,54247,8.1,1020
193,The Last Temptation of Krust,22/02/1998,5F10,9,15,193,9.5,20298,7.5,878
183,The Cartridge Family,02/11/1997,5F01,9,5,183,10.3,30921,8.2,1081
172,Grade School Confidential,06/04/1997,4F09,8,19,172,13.3,60584,8.2,995
161,Hurricane Neddy,29/12/1996,4F07,8,8,161,,66281,8.8,1268
197,Simpson Tide,29/03/1998,3G04,9,19,197,9,23127,8.3,1026
177,The Simpsons Spin-Off Showcase,11/05/1997,4F20,8,24,177,11.6,57926,7.3,1006
179,The City of New York vs. Homer Simpson,21/09/1997,4F22,9,1,179,10.5,62962,9.1,1918
188,Miracle on Evergreen Terrace,21/12/1997,5F07,9,10,188,9.6,19899,7.6,958
201,King of the Hill,03/05/1998,5F16,9,23,201,9.2,60952,8.3,962
192,Das Bus,15/02/1998,5F11,9,14,192,9.6,32487,8.1,1036
204,Lard of the Dance,23/08/1998,5F20,10,1,204,7,56018,7.6,932
190,Bart Carny,11/01/1998,5F08,9,12,190,11.7,22426,7.7,938
195,Lisa the Simpson,08/03/1998,4F24,9,17,195,10.4,21608,8,957
146,The Day the Violence Died,17/03/1996,3F16,7,18,146,14.4,57809,8,1016
208,When You Dish Upon a Star,08/11/1998,5F19,10,5,208,9,43485,7.3,934
210,"Lisa Gets an ""A""",22/11/1998,AABF03,10,7,210,8,50013,8,909
211,"Homer Simpson in: ""Kidney Trouble""",06/12/1998,AABF04,10,8,211,7.2,50300,7.3,863
252,Lisa the Tree Hugger,19/11/2000,CABF01,12,4,252,14.9,39480,7.2,731
215,"Sunday, Cruddy Sunday",31/01/1999,AABF08,10,12,215,11.5,50051,6.9,880
220,Maximum Homerdrive,28/03/1999,AABF13,10,17,220,15.5,54195,7.6,843
232,"Hello Gutter, Hello Fadder",14/11/1999,BABF02,11,6,232,9.2,44615,7.3,759
221,Simpsons Bible Stories,04/04/1999,AABF14,10,18,221,12.2,47155,7.3,851
260,Tennis the Menace,11/02/2001,CABF07,12,12,260,14,51004,6.9,730
213,Viva Ned Flanders,10/01/1999,AABF06,10,10,213,11.5,56561,7.8,928
230,Treehouse of Horror X,31/10/1999,BABF01,11,4,230,8.7,47980,7.7,876
246,Last Tap Dance in Springfield,07/05/2000,BABF15,11,20,246,7.3,47061,7.2,716
228,Brother's Little Helper,03/10/1999,AABF22,11,2,228,7.1,44172,7.5,776
223,"The Old Man and the ""C"" Student",25/04/1999,AABF16,10,20,223,6.9,47550,7.3,779
243,Bart to the Future,19/03/2000,BABF13,11,17,243,8.77,75315,7,780
227,Beyond Blunderdome,26/09/1999,AABF23,11,1,227,8.1,34394,7.3,917
225,They Saved Lisa's Brain,09/05/1999,AABF18,10,22,225,6.8,47951,7.3,804
216,Homer to the Max,07/02/1999,AABF09,10,13,216,8.3,55726,7.7,882
234,"Take My Wife, Sleaze",28/11/1999,BABF05,11,8,234,8.9,41484,7.1,775
236,Little Big Mom,09/01/2000,BABF04,11,10,236,10,48194,7.3,715
237,Faith Off,16/01/2000,BABF06,11,11,237,10.4,43869,6.9,734
259,Worst Episode Ever,04/02/2001,CABF08,12,11,259,18.5,49893,7.5,761
239,Saddlesore Galactica,06/02/2000,BABF09,11,13,239,9.6,41259,6.6,822
248,Behind the Laughter,21/05/2000,BABF19,11,22,248,8.3,74046,7.9,955
255,The Great Money Caper,10/12/2000,CABF03,12,7,255,16.8,49325,7.3,766
241,Missionary: Impossible,20/02/2000,BABF10,11,15,241,9.8,50427,7.3,777
244,Days of Wine and D'oh'ses,09/04/2000,BABF14,11,18,244,8.3,48786,7.4,724
148,Bart on the Road,31/03/1996,3F17,7,20,148,11.8,70913,8.6,1110
264,"Bye, Bye, Nerdie",11/03/2001,CABF11,12,16,264,16.1,45718,6.5,691
267,I'm Goin' to Praiseland,06/05/2001,CABF15,12,19,267,13.1,49321,7.3,721
269,Simpsons Tall Tales,20/05/2001,CABF17,12,21,269,13.4,56698,7,688
287,I Am Furious (Yellow),28/04/2002,DABF13,13,18,287,12.4,69650,7.7,704
288,The Sweetest Apu,05/05/2002,DABF14,13,19,288,11.8,47193,6.9,598
316,The President Wore Pearls,16/11/2003,EABF20,15,3,316,12.7,37456,7,631
271,The Parent Rap,11/11/2001,CABF22,13,2,271,14.9,47251,7.1,674
285,Weekend at Burnsie's,07/04/2002,DABF11,13,16,285,12.5,54539,7.7,765
295,Large Marge,24/11/2002,DABF18,14,4,295,17.4,55369,7.1,704
280,The Bart Wants What It Wants,17/02/2002,DABF06,13,11,280,11.2,45176,7.1,621
305,Mr. Spritz Goes to Washington,09/03/2003,EABF09,14,14,305,14.4,44837,6.9,577
273,A Hunka Hunka Burns in Love,02/12/2001,CABF18,13,4,273,13.4,37376,7.2,651
293,How I Spent My Strummer Vacation,10/11/2002,DABF22,14,2,293,12.5,35578,7.3,713
275,She of Little Faith,16/12/2001,DABF02,13,6,275,13.2,45824,7.1,692
296,Helter Shelter,01/12/2002,DABF21,14,5,296,15.1,42907,6.8,633
283,Tales from the Public Domain,17/03/2002,DABF08,13,14,283,11.7,50301,7.3,630
300,The Strong Arms of the Ma,02/02/2003,EABF04,14,9,300,15.4,51877,6.9,644
276,Brawl in the Family,06/01/2002,DABF01,13,7,276,11.8,45684,6.9,649
278,Jaws Wired Shut,27/01/2002,DABF05,13,9,278,14.2,49429,7.3,642
289,Little Girl in the Big Ten,12/05/2002,DABF15,13,20,289,11.2,46466,7.2,613
310,Old Yeller-Belly,04/05/2003,EABF14,14,19,310,11.59,43223,6.8,574
298,Special Edna,05/01/2003,EABF02,14,7,298,15,40867,7.1,593
302,Barting Over,16/02/2003,EABF05,14,11,302,21.3,47276,6.6,650
309,"Dude, Where's My Ranch?",27/04/2003,EABF13,14,18,309,11.71,49000,7,651
312,The Bart of War,18/05/2003,EABF16,14,21,312,12.1,50464,6.6,575
314,Treehouse of Horror XIV,02/11/2003,EABF21,15,1,314,16.22,68381,7.4,738
165,Mountain of Madness,02/02/1997,4F10,8,12,165,9.1,60763,8.6,1137
319,Today I Am a Clown,07/12/2003,FABF01,15,6,319,10.5,37890,6.6,576
321,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",04/01/2004,FABF03,15,8,321,12,50276,6.7,589
323,Diatribe of a Mad Housewife,25/01/2004,FABF05,15,10,323,10.6,45062,7.3,596
337,All's Fair in Oven War,14/11/2004,FABF20,16,2,337,11.64,41064,7,566
334,Bart-Mangled Banner,16/05/2004,FABF17,15,21,334,8.7,56275,6.2,593
353,A Star Is Torn,08/05/2005,GABF13,16,18,353,8.72,44500,6.8,554
362,See Homer Run,20/11/2005,GABF21,17,6,362,10.3,40306,6.9,543
325,Milhouse Doesn't Live Here Anymore,15/02/2004,FABF07,15,12,325,9.4,46792,7.3,583
327,The Ziff Who Came to Dinner,14/03/2004,FABF08,15,14,327,10.7,43747,6.9,568
343,Homer and Ned's Hail Mary Pass,06/02/2005,GABF02,16,8,343,23.07,43356,6.4,582
358,The Girl Who Slept Too Little,18/09/2005,GABF16,17,2,358,9.79,35717,6.9,585
329,The Wandering Juvie,28/03/2004,FABF11,15,16,329,10.5,44539,6.9,599
359,Milhouse of Sand and Fog,25/09/2005,GABF19,17,3,359,10.19,35779,7,558
360,Treehouse of Horror XVI,06/11/2005,GABF17,17,4,360,11.63,74401,7.3,646
366,Homer's Paternity Coot,08/01/2006,HABF03,17,10,366,10.1,39552,6.7,554
339,She Used to Be My Girl,05/12/2004,FABF22,16,4,339,10.81,38908,6.6,562
330,My Big Fat Geek Wedding,18/04/2004,FABF12,15,17,330,9.2,42440,6.7,560
350,Future-Drama,17/04/2005,GABF12,16,15,350,8.31,53146,7.3,615
364,The Italian Bob,11/12/2005,HABF02,17,8,364,10.39,45513,7,706
332,Simple Simpson,02/05/2004,FABF15,15,19,332,9.5,46273,7.3,600
367,We're on the Road to D'ohwhere,29/01/2006,HABF04,17,11,367,9.04,43599,7,535
346,On a Clear Day I Can't See My Sister,06/03/2005,GABF05,16,11,346,10.39,46309,6.9,572
355,Home Away from Homer,15/05/2005,GABF15,16,20,355,8.17,44606,7.1,546
336,Treehouse of Horror XV,07/11/2004,FABF23,16,1,336,11.29,72271,7.4,666
341,Midnight Rx,16/01/2005,FABF16,16,6,341,8.11,43118,7.3,554
344,Pranksta Rap,13/02/2005,GABF03,16,9,344,8.01,42759,6.8,607
194,Dumbbell Indemnity,01/03/1998,5F12,9,16,194,10.3,21214,7.6,887
375,Girls Just Want to Have Sums,30/04/2006,HABF12,17,19,375,8.7,45267,7.2,582
377,The Monkey Suit,14/05/2006,HABF14,17,21,377,8.3,48419,7.1,596
396,The Boys of Bummer,29/04/2007,JABF11,18,18,396,7.57,44770,6.3,585
405,Treehouse of Horror XVIII,04/11/2007,JABF16,19,5,405,11.7,69957,7.1,687
393,Rome-Old and Juli-Eh,11/03/2007,JABF08,18,15,393,8.98,41751,6.3,606
416,Papa Don't Leech,13/04/2008,KABF09,19,16,416,6.9,39238,6.1,585
378,Marge and Homer Turn a Couple Play,21/05/2006,HABF16,17,22,378,8.23,42778,6.6,587
388,The Wife Aquatic,07/01/2007,JABF03,18,10,388,13.9,41312,6.6,615
423,"Double, Double, Boy in Trouble",19/10/2008,KABF14,20,3,423,8.09,45781,7,638
382,Treehouse of Horror XVII,05/11/2006,HABF17,18,4,382,10.43,68799,7.1,723
411,That '90s Show,27/01/2008,KABF04,19,11,411,7.6,43485,6.3,1069
428,The Burns and the Bees,07/12/2008,KABF21,20,8,428,6.19,38247,6.6,615
384,Moe'N'a Lisa,19/11/2006,HABF19,18,6,384,9.31,37177,6.8,605
386,The Haw-Hawed Couple,10/12/2006,JABF02,18,8,386,8.29,41161,7.2,578
407,Husbands and Knives,18/11/2007,JABF17,19,7,407,10.5,44445,7.1,762
420,All About Lisa,18/05/2008,KABF13,19,20,420,6.11,44616,6.4,538
400,You Kent Always Say What You Want,20/05/2007,JABF15,18,22,400,9.8,45281,7.3,692
425,Dangerous Curves,09/11/2008,KABF18,20,5,425,8.16,40078,6.6,615
391,Springfield Up,18/02/2007,JABF07,18,13,391,8.8,45036,7.3,617
389,Revenge Is a Dish Best Served Three Times,28/01/2007,JABF05,18,11,389,8.09,67621,7,580
395,Marge Gamer,22/04/2007,JABF10,18,17,395,6.4,47107,7.3,678
398,Stop! Or My Dog Will Shoot,13/05/2007,JABF12,18,20,398,6.48,42892,7,569
414,Dial 'N' for Nerder,09/03/2008,KABF07,19,14,414,7.3,41658,7.3,626
412,"Love, Springfieldian Style",17/02/2008,KABF05,19,12,412,7.81,40507,6.6,636
427,MyPods and Boomsticks,30/11/2008,KABF20,20,7,427,7.8,40353,7.1,728
421,"Sex, Pies and Idiot Scrapes",28/09/2008,KABF17,20,1,421,9.3,45735,7.2,780
418,Any Given Sundance,04/05/2008,KABF11,19,18,418,6.18,41440,7,585
206,Bart the Mother,27/09/1998,5F22,10,3,206,7.35,43240,7.5,899
430,"Take My Life, Please",15/02/2009,LABF01,20,10,430,6.82,40679,7,591
432,"No Loan Again, Naturally",08/03/2009,LABF03,20,12,432,5.99,41165,7,582
465,Elementary School Musical,26/09/2010,MABF21,22,1,465,7.75,31638,6.3,691
439,"Waverly Hills, 9-0-2-1-D'oh",03/05/2009,LABF10,20,19,439,6.75,45032,7.1,613
463,The Bob Next Door,16/05/2010,MABF11,21,22,463,6.26,43446,7.2,545
437,"The Good, the Sad and the Drugly",19/04/2009,LABF07,20,17,437,6.5,45179,7.2,605
451,Once Upon a Time in Springfield,10/01/2010,LABF20,21,10,451,14.62,40194,6.7,552
443,Bart Gets a 'Z',04/10/2009,LABF15,21,2,443,9.32,38196,6.6,585
436,Eeny Teeny Maya Moe,05/04/2009,LABF06,20,16,436,6.5,40864,7.2,604
459,Chief of Hearts,18/04/2010,MABF09,21,18,459,5.93,41528,6.9,482
444,The Great Wife Hope,11/10/2009,LABF16,21,3,444,7.5,39134,6.3,562
461,To Surveil with Love,02/05/2010,MABF12,21,20,461,6.06,45738,7.2,519
479,The Scorpion's Tale,06/03/2011,NABF08,22,15,479,6.2,42142,6.7,489
477,The Blue and the Gray,13/02/2011,NABF06,22,13,477,5.61,42028,6.9,461
454,The Color Yellow,21/02/2010,MABF06,21,13,454,6.08,41059,6.6,496
470,The Fool Monty,21/11/2010,NABF01,22,6,470,6.58,38097,6.5,479
449,"O Brother, Where Bart Thou?",13/12/2009,MABF01,21,8,449,7.11,38097,7.2,542
453,Boy Meets Curl,14/02/2010,MABF05,21,12,453,5.87,44945,6.8,525
481,Love Is a Many Strangled Thing,27/03/2011,NABF10,22,17,481,6.14,41202,6.5,470
446,The Devil Wears Nada,15/11/2009,LABF17,21,5,446,9.04,42893,6.7,560
484,Homer Scissorhands,08/05/2011,NABF13,22,20,484,5.48,46154,7.2,483
456,Stealing First Base,21/03/2010,MABF07,21,15,456,5.69,40487,7,554
471,How Munched is That Birdie in the Window?,28/11/2010,NABF02,22,7,471,9.38,37568,6.4,489
483,The Real Housewives of Fat Tony,01/05/2011,NABF12,22,19,483,6.1,41638,6.6,486
474,Moms I'd Like to Forget,09/01/2011,NABF03,22,10,474,12.6,41253,6.3,464
467,MoneyBart,10/10/2010,MABF18,22,3,467,6.72,39073,6.8,501
475,Flaming Moe,16/01/2011,NABF04,22,11,475,6.47,42734,6.9,520
217,I'm with Cupid,14/02/1999,AABF11,10,14,217,7.7,46822,7.3,815
488,Bart Stops to Smell the Roosevelts,02/10/2011,NABF17,23,2,488,6.19,37642,7,528
490,Replaceable You,06/11/2011,NABF21,23,4,490,7.97,38034,6.7,491
497,The D'oh-cial Network,15/01/2012,PABF04,23,11,497,11.48,43275,7,553
540,Married to the Blob,12/01/2014,SABF03,25,10,540,4.83,40646,7.1,475
507,Ned 'n Edna's Blend,13/05/2012,PABF15,23,21,507,4.07,47005,6.7,408
512,Gone Abie Gone,11/11/2012,PABF16,24,4,512,6.86,35136,6.7,415
517,Homer Goes to Prep School,06/01/2013,RABF02,24,9,517,8.97,42306,6.9,411
533,Four Regrettings and a Funeral,03/11/2013,RABF18,25,3,533,5.43,39301,6.5,482
537,Yellow Subterfuge,08/12/2013,SABF04,25,7,537,6.85,43717,7,440
505,A Totally Fun Thing That Bart Will Never Do Again,29/04/2012,PABF12,23,19,505,5,53058,7.4,568
492,The Book Job,20/11/2011,NABF22,23,6,492,5.77,42780,7.8,712
499,The Daughter Also Rises,12/02/2012,PABF06,23,13,499,4.26,40669,6.5,490
539,Steal This Episode,05/01/2014,SABF05,25,9,539,12.04,45354,7.6,648
501,Exit Through the Kwik-E-Mart,04/03/2012,PABF09,23,15,501,5.09,45133,6.9,425
523,"Black Eyed, Please",10/03/2013,RABF09,24,15,523,4.85,42925,7,418
503,"Them, Robot",18/03/2012,PABF10,23,17,503,5.25,43615,7.1,493
532,Treehouse of Horror XXIV,06/10/2013,RABF16,25,2,532,6.42,64758,7.1,654
526,Pulpit Friction,28/04/2013,RABF11,24,18,526,4.54,41184,6.5,405
519,The Changing of the Guardian,27/01/2013,RABF04,24,11,519,5.23,42215,6.6,405
509,Moonshine River,30/09/2012,PABF21,24,1,509,8.08,36570,6.4,597
514,A Tree Grows in Springfield,25/11/2012,PABF22,24,6,514,7.46,43211,6.5,430
510,Treehouse of Horror XXIII,07/10/2012,PABF17,24,2,510,6.57,67484,7.3,600
515,The Day the Earth Stood Cool,09/12/2012,PABF20,24,7,515,7.44,40649,7.2,493
521,Hardly Kirk-ing,17/02/2013,RABF05,24,13,521,4.57,42807,7,406
528,The Fabulous Faker Boy,12/05/2013,RABF12,24,20,528,4.16,42426,6.3,410
535,Labor Pains,17/11/2013,RABF19,25,5,535,4.08,40671,7.1,442
530,Dangers on a Train,19/05/2013,RABF17,24,22,530,4.52,44984,7,396
218,"Marge Simpson in: ""Screaming Yellow Honkers""",21/02/1999,AABF10,10,15,218,8.6,52778,7.3,831
544,The Winter of His Content,16/03/2014,SABF09,25,14,544,4.02,44271,6.6,407
549,What to Expect When Bart's Expecting,27/04/2014,SABF14,25,19,549,3.45,48760,5.8,445
560,Covercraft,23/11/2014,TABF02,26,8,560,3.45,38432,6.5,431
565,Walking Big & Tall,08/02/2015,TABF06,26,13,565,2.78,36221,6.3,377
579,Treehouse of Horror XXVI,25/10/2015,TABF18,27,5,579,6.75,195,6.8,385
584,The Girl Code,03/01/2016,VABF03,27,10,584,4.41,166,6.6,356
551,Pay Pal,11/05/2014,SABF15,25,21,551,3.66,51132,6.7,402
575,Every Man's Dream,27/09/2015,TABF14,27,1,575,3.28,187,5.9,532
572,Let's Go Fly a Coot,03/05/2015,TABF13,26,20,572,3.12,40783,6.2,330
569,Waiting for Duffman,15/03/2015,TABF10,26,17,569,3.59,37874,6.7,374
581,Lisa with an 'S',22/11/2015,TABF20,27,7,581,5.64,145,6.3,328
563,Bart's New Friend,11/01/2015,TABF05,26,11,563,4.28,39702,7.3,434
587,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,14/02/2016,VABF07,27,13,587,2.89,158,6.3,252
571,The Kids Are All Fight,26/04/2015,TABF12,26,19,571,3.33,42123,6.9,347
568,Sky Police,08/03/2015,TABF09,26,16,568,3.79,43023,6.9,377
553,Clown in the Dumps,28/09/2014,SABF20,26,1,553,8.53,29526,5.8,652
555,Super Franchise Me,12/10/2014,SABF19,26,3,555,7.33,42912,6.5,457
586,Much Apu About Something,17/01/2016,VABF05,27,12,586,3.95,170,6.7,271
561,I Won't Be Home for Christmas,07/12/2014,TABF03,26,9,561,6.52,37064,6.8,432
556,Treehouse of Horror XXV,19/10/2014,SABF21,26,4,556,7.76,65425,7.3,612
566,My Fare Lady,15/02/2015,TABF07,26,14,566,2.67,35846,6.7,360
591,The Burns Cage,03/04/2016,VABF10,27,17,591,2.32,190,6.5,246
574,Mathlete's Feat,17/05/2015,TABF16,26,22,574,2.82,47429,6.9,335
589,Lisa the Veterinarian,06/03/2016,VABF08,27,15,589,3.09,174,6.3,233
582,Paths of Glory,06/12/2015,VABF01,27,8,582,5.53,170,7.1,305
577,Puffless,11/10/2015,TABF19,27,3,577,3.31,160,7.2,404
31,Brush with Greatness,11/04/1991,7F18,2,18,31,20.6,58561,8,1257
45,Flaming Moe's,21/11/1991,8F08,3,10,45,23.9,58968,8.8,1618
5,Bart the General,04/02/1990,7G05,1,5,5,27.1,63129,8.1,1732
59,"Brother, Can You Spare Two Dimes?",27/08/1992,8F23,3,24,59,17.2,50936,8.2,1227
62,Homer the Heretic,08/10/1992,9F01,4,3,62,19.3,64605,9,1747
83,Cape Feare,07/10/1993,9F22,5,2,83,20,65585,9,2010
88,Bart's Inner Child,11/11/1993,1F05,5,7,88,18.7,74139,7.7,1085
96,Deep Space Homer,24/02/1994,1F13,5,15,96,18.2,75439,8.8,1505
100,Sweet Seymour Skinner's Baadasssss Song,28/04/1994,1F18,5,19,100,19.7,66406,8.4,1118
101,The Boy Who Knew Too Much,05/05/1994,1F19,5,20,101,15.5,74427,8.2,1103
109,Treehouse of Horror V,30/10/1994,2F03,6,6,109,22.2,119295,9,1690
128,Who Shot Mr. Burns? (Part One),21/05/1995,2F16,6,25,128,15,86070,9.1,1619
155,You Only Move Twice,03/11/1996,3F23,8,2,155,13.9,79609,9.2,2439
162,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),05/01/1997,3F24,8,9,162,14.9,64743,8.5,1383
176,Homer's Enemy,04/05/1997,4F19,8,23,176,11.8,74177,9.2,2256
182,Treehouse of Horror VIII,26/10/1997,5F02,9,4,182,10.9,30963,8.1,1019
185,The Two Mrs. Nahasapeemapetilons,16/11/1997,5F04,9,7,185,11.4,19419,7.7,905
209,D'oh-in' in the Wind,15/11/1998,AABF02,10,6,209,8.3,45779,7.6,901
256,Skinner's Sense of Snow,17/12/2000,CABF06,12,8,256,15.9,56755,8,836
257,HOMR,07/01/2001,BABF22,12,9,257,18.5,68784,8,899
266,Trilogy of Error,29/04/2001,CABF14,12,18,266,14.4,53728,8.6,1095
291,Poppa's Got a Brand New Badge,22/05/2002,DABF17,13,22,291,8.2,53639,8,701
292,Treehouse of Horror XIII,03/11/2002,DABF19,14,1,292,16.7,71817,7.6,752
495,Holidays of Future Passed,11/12/2011,NABF18,23,9,495,6.43,69460,8.2,905
558,Simpsorama,09/11/2014,SABF16,26,6,558,6.7,48223,7.9,977
578,Halloween of Horror,18/10/2015,TABF22,27,4,578,3.69,196,7.5,462
594,To Courier with Love,08/05/2016,VABF14,27,20,594,2.52,192,6.7,193
3,Homer's Odyssey,21/01/1990,7G03,1,3,3,27.5,78072,7.5,1709
235,Grift of the Magi,19/12/1999,BABF07,11,9,235,7.76,48070,7.3,809
250,A Tale of Two Springfields,05/11/2000,BABF20,12,2,250,16.2,40990,7.4,803
253,Homer vs. Dignity,26/11/2000,CABF04,12,5,253,15,44005,7.2,762
282,The Old Man and the Key,10/03/2002,DABF09,13,13,282,14.5,41049,6.5,623
307,'Scuse Me While I Miss the Sky,30/03/2003,EABF11,14,16,307,12.6,43756,7.1,555
324,Margical History Tour,08/02/2004,FABF06,15,11,324,8.9,42492,7.1,575
348,Mobile Homer,20/03/2005,GABF07,16,13,348,8.49,45489,7,530
351,Don't Fear the Roofer,01/05/2005,GABF10,16,16,351,11.92,41620,7.4,661
369,The Seemingly Never-Ending Story,12/03/2006,HABF06,17,13,369,9.72,48854,7.4,642
371,"Homer Simpson, This Is Your Wife",26/03/2006,HABF08,17,15,371,10.09,41323,6.5,854
374,The Wettest Stories Ever Told,23/04/2006,HABF11,17,18,374,7.04,42280,6.7,549
403,Midnight Towboy,07/10/2007,JABF21,19,3,403,7.7,35926,7.2,637
426,Homer and Lisa Exchange Cross Words,16/11/2008,KABF19,20,6,426,8.52,38879,7.1,599
441,Coming to Homerica,17/05/2009,LABF12,20,21,441,5.86,6477,7.2,648
445,Treehouse of Horror XX,18/10/2009,LABF14,21,4,445,8.59,66209,7.3,671
458,American History X-cellent,11/04/2010,MABF08,21,17,458,5.65,44645,6.7,482
460,The Squirt and the Whale,25/04/2010,MABF14,21,19,460,5.94,40632,6.9,511
468,Treehouse of Horror XXI,07/11/2010,MABF16,22,4,468,8.19,61954,7.1,680
493,The Man in the Blue Flannel Pants,27/11/2011,PABF01,23,7,493,5.61,41687,6.8,493
524,Dark Knight Court,17/03/2013,RABF10,24,16,524,4.89,44170,7.1,417
529,The Saga of Carl,19/05/2013,RABF14,24,21,529,4.01,42996,7.2,460
546,You Don't Have to Live Like a Referee,30/03/2014,SABF11,25,16,546,3.91,42080,6.9,430
567,The Princess Guide,01/03/2015,TABF08,26,15,567,3.93,34137,6.6,372
592,How Lisa Got Her Marge Back,10/04/2016,VABF11,27,18,592,2.55,188,6.4,228
596,Orange Is the New Yellow,22/05/2016,VABF15,27,22,596,2.54,276,6.9,210
597,Monty Burns' Fleeing Circus,25/09/2016,VABF20,28,1,597,3.36,994,6.6,104
262,New Kids on the Blecch,25/02/2001,CABF12,12,14,262,18.1,50903,7.2,833
277,Sweets and Sour Marge,20/01/2002,DABF03,13,8,277,12.3,54348,7,649
290,The Frying Game,19/05/2002,DABF16,13,21,290,10.8,48954,7.1,642
303,I'm Spelling As Fast As I Can,16/02/2003,EABF07,14,12,303,22.1,42885,7.3,628
304,A Star Is Born-Again,02/03/2003,EABF08,14,13,304,14.4,42185,7.1,599
317,The Regina Monologues,23/11/2003,EABF22,15,4,317,12.2,43134,7.1,705
356,"The Father, the Son, and the Holy Guest Star",15/05/2005,GABF09,16,21,356,9.69,48303,7.2,635
361,Marge's Son Poisoning,13/11/2005,GABF20,17,5,361,11.4,39428,6.9,578
373,"Kiss Kiss, Bang Bangalore",09/04/2006,HABF10,17,17,373,8.2,47829,7.2,677
380,Jazzy and the Pussycats,17/09/2006,HABF18,18,2,380,8.94,33495,6.7,671
401,He Loves to Fly and He D'ohs,23/09/2007,JABF20,19,1,401,9.7,36253,6.7,706
404,I Don't Wanna Know Why the Caged Bird Sings,14/10/2007,JABF19,19,4,404,8.8,35850,6.9,620
409,Eternal Moonshine of the Simpson Mind,16/12/2007,KABF02,19,9,409,10.15,44862,8.2,949
429,Lisa the Drama Queen,25/01/2009,KABF22,20,9,429,5.75,38582,5.9,706
431,How the Test Was Won,01/03/2009,LABF02,20,11,431,6.52,41271,7,603
434,In the Name of the Grandfather,22/03/2009,LABF11,20,14,434,6.15,45727,6.3,619
435,Wedding for Disaster,29/03/2009,LABF05,20,15,435,6.58,43254,6.8,571
486,The Ned-Liest Catch,22/05/2011,NABF15,22,22,486,5.25,43681,7,492
500,At Long Last Leave,19/02/2012,PABF07,23,14,500,5.77,45226,7,580
502,How I Wet Your Mother,11/03/2012,PABF08,23,16,502,4.97,44818,7.3,541
511,Adventures in Baby-Getting,04/11/2012,PABF18,24,3,511,5.65,39687,6.9,460
542,Diggs,09/03/2014,SABF08,25,12,542,2.69,39292,6.4,473
548,Days of Future Future,13/04/2014,SABF13,25,18,548,3.64,55742,7,504
